
 
---------- Probe ---------
 
N1 = 76.0
N2 = 48.0
A = 9.2E-7
LM = 0.02167
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 7.130000
f = 200.000000
Fs = 800000.000000
waves = 2.0
date = 12/10/2018 15:42
 
---------- Misc ----------
 
Hc = 3846.1617191244695 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	Braw	Jraw	B_drift	 J_drift	B_corr	J_corr
0.000124	0.024124	0.025024	837.7838278365816	0.033960	0.032908	0.03391672379711261	0.032864715526467754	-0.001126217481857511	-0.002178192487969126
0.000125	0.024490	0.025372	850.4833908365816	0.034677	0.033610	0.03463337479547642	0.033566366458132824	-4.0956648349369656E-4	-0.0014765415563040563
0.000126	0.024750	0.025647	859.4789158365817	0.035403	0.034325	0.035359025793840225	0.034281017389797885	3.160845148701061E-4	-7.618906246389945E-4
0.000127	0.025055	0.025922	870.0618858365817	0.036138	0.035046	0.036093676792204044	0.035001668321462946	0.0010507355132339247	-4.123969297393365E-5
0.000129	0.025314	0.026318	879.0574098365817	0.036882	0.035779	0.03683697878893166	0.03573397018479307	0.0017940375099615435	6.910621703561867E-4
0.000130	0.025620	0.026666	889.6403798365817	0.037637	0.036521	0.03759162978729547	0.03647562111645813	0.0025486885083253544	0.0014327131020212477
0.000131	0.025864	0.027020	898.1067558365817	0.038402	0.037275	0.03835628078565929	0.0372292720481232	0.0033133395066891683	0.0021863640336863208
0.000132	0.026154	0.027411	908.1605778365816	0.039178	0.038038	0.0391319317840231	0.03799192297978826	0.004088990505052979	0.002949014965351382
0.000134	0.026443	0.027692	918.2143988365817	0.039962	0.038810	0.03991523378075072	0.03876322484311838	0.0048722925017806035	0.0037203168286814997
0.000135	0.026794	0.028088	930.3848138365817	0.040757	0.039589	0.04070988477911453	0.03954187577478344	0.005666943500144413	0.004498967760346563
0.000136	0.027008	0.028430	937.7928928365817	0.041562	0.040385	0.041514535777478344	0.0403375267064485	0.006471594498508225	0.0052946186920116226
0.000137	0.027344	0.028833	949.4341598365817	0.042378	0.041187	0.04233018677584215	0.041139177638113575	0.007287245496872034	0.006096269623676695
0.000139	0.027618	0.029272	958.9588328365817	0.043206	0.042003	0.04315748877256978	0.041954479501443695	0.008114547493599661	0.006911571487006815
0.000140	0.027969	0.029620	971.1292478365816	0.044045	0.042826	0.04399613977093359	0.04277713043310876	0.008953198491963472	0.007734222418671881
0.000141	0.028229	0.030017	980.1247728365817	0.044894	0.043664	0.044844790769297406	0.04361478136477382	0.009801849490327287	0.00857187335033694
0.000142	0.028503	0.030341	989.6494458365817	0.045754	0.044512	0.04570444176766122	0.044462432296438884	0.010661500488691099	0.009419524282002004
0.000144	0.028748	0.030768	998.1158218365816	0.046624	0.045371	0.04657374376438883	0.04532073415976901	0.011530802485418712	0.010277826145332132
0.000145	0.029007	0.031085	1007.1113458365817	0.047504	0.046240	0.04745339476275264	0.046189385091434075	0.012410453483782523	0.011146477076997195
0.000146	0.029419	0.031488	1021.3983558365817	0.048395	0.047113	0.04834404576111646	0.047062036023099135	0.013301104482146338	0.012019128008662255
0.000147	0.029694	0.031793	1030.9230278365817	0.049296	0.048002	0.04924469675948027	0.0479506869547642	0.014201755480510149	0.012907778940327318
0.000149	0.029984	0.032227	1040.9768498365818	0.050208	0.048901	0.050155998756207895	0.048848988818094324	0.015113057477237776	0.013806080803657445
0.000150	0.030273	0.032593	1051.0306708365817	0.051130	0.049811	0.051077649754571706	0.04975863974975939	0.016034708475601588	0.014715731735322507
0.000151	0.030518	0.032996	1059.4970468365816	0.052064	0.050735	0.052011300752935516	0.05068229068142445	0.016968359473965397	0.01563938266698757
0.000152	0.030838	0.033417	1070.6091658365817	0.053010	0.051666	0.05295695175129933	0.051612941613089505	0.01791401047232921	0.016570033598652625
0.000154	0.031158	0.033740	1081.7212838365817	0.053965	0.052607	0.053911253748026945	0.05255324347641963	0.018868312469056826	0.017510335461982753
0.000155	0.031418	0.034088	1090.7168088365818	0.054930	0.053561	0.05487590474639076	0.0535068944080847	0.01983296346742064	0.018463986393647817
0.000156	0.031754	0.034406	1102.3580748365816	0.055904	0.054520	0.05584955574475457	0.05446554533974976	0.020806614465784454	0.01942263732531288
0.000157	0.031967	0.034790	1109.7661538365817	0.056889	0.055496	0.056834206743118384	0.05544119627141482	0.021791265464148266	0.02039828825697794
0.000159	0.032272	0.035272	1120.3491238365816	0.057887	0.056480	0.05783150873984601	0.05642449813474495	0.02278856746087589	0.021381590120308068
