
 
---------- Probe ---------
 
N1 = 60.0
N2 = 60.0
A = 1.286E-6
LM = 0.02207
NU = 1.0
R = 0.101134
 
--------- Signal ---------
 
signal = Triangle
amplitude = 9.190000
f = 151.000000
Fs = 800000.000000
waves = 2.0
date = 30/11/2018 12:12
 
---------- Misc ----------
 
Hc = 925.8439190912462 A/m
W = --- J/kg^3
 
--------------------------
 
t	U1	U2	H	B_raw	J_raw	B_drift	 J_drift	B_corr	J_corr
5.125000E-5	0.001358	0.053101	36.984328756466105	0.009715	0.009669	0.009809073197739066	0.009763077073999595	-0.05997174966038542	-0.06001641597644514
5.250000E-5	0.001480	0.056549	40.26574875646611	0.010631	0.010581	0.010727367665976605	0.010677371636780073	-0.05905345519214787	-0.05910212141366466
5.375000E-5	0.001572	0.060089	42.7268127564661	0.011605	0.011552	0.011703662134214145	0.011650666199560551	-0.05807716072391034	-0.05812882685088418
5.500000E-5	0.001724	0.063721	46.828587756466106	0.012637	0.012579	0.012737956602451682	0.012679960762341028	-0.0570428662556728	-0.0570995322881037
5.625000E-5	0.001785	0.067413	48.469297756466105	0.013730	0.013670	0.01383325107068922	0.013773255325121506	-0.05594757178743526	-0.056006237725323225
5.750000E-5	0.001862	0.071381	50.52018475646611	0.014887	0.014824	0.014992545538926757	0.014929549887901985	-0.05478827731919772	-0.05484994316254274
5.875000E-5	0.002029	0.075439	55.032137756466106	0.016109	0.016041	0.016216840007164297	0.016148844450682463	-0.05356398285096019	-0.05363064859976227
6.000000E-5	0.002213	0.079620	59.954266756466104	0.017399	0.017325	0.017509134475401835	0.01743513901346294	-0.05227168838272264	-0.05234435403698179
6.125000E-5	0.002182	0.083984	59.133911756466105	0.018760	0.018686	0.01887242894363937	0.018798433576243417	-0.05090839391448511	-0.05098105947420131
6.250000E-5	0.002319	0.088379	62.82550875646611	0.020192	0.020114	0.020306723411876913	0.020228728139023894	-0.04947409944624757	-0.04955076491142084
6.375000E-5	0.002548	0.092926	68.97817075646611	0.021698	0.021612	0.02181501788011445	0.021729022701804372	-0.047965804978010035	-0.04805047034864036
6.500000E-5	0.002609	0.097717	70.61888075646611	0.023282	0.023194	0.02340131234835199	0.02331331726458485	-0.04637951050977249	-0.046466175785859876
6.625000E-5	0.002609	0.102692	70.61888075646611	0.024946	0.024857	0.025067606816589524	0.02497861182736533	-0.044713216041534956	-0.0448008812230794
6.750000E-5	0.002808	0.107697	75.95118775646611	0.026691	0.026596	0.026814901284827063	0.02671990639014581	-0.042965921573297414	-0.043059586660298924
6.875000E-5	0.003036	0.113007	82.1038507564661	0.028522	0.028419	0.0286481957530646	0.028545200952926286	-0.04113262710505988	-0.041234292097518443
7.000000E-5	0.003036	0.118225	82.1038507564661	0.030438	0.030335	0.03056649022130214	0.030463495515706766	-0.039214332636822335	-0.03931599753473797
7.125000E-5	0.003143	0.123779	84.97509275646611	0.032443	0.032337	0.03257378468953968	0.03246779007848724	-0.037207038168584804	-0.03731170297195749
7.250000E-5	0.003403	0.129395	91.94810975646611	0.034539	0.034424	0.034672079157777216	0.03455708464126772	-0.035108743700347264	-0.03522240840917701
7.375000E-5	0.003525	0.135010	95.2295297564661	0.036728	0.036609	0.03686337362601475	0.0367443792040482	-0.03291744923210973	-0.03303511384639653
7.500000E-5	0.003555	0.141205	96.04988475646611	0.039016	0.038896	0.039153668094252296	0.039033673766828675	-0.030627154763872184	-0.030745819283616055
7.625000E-5	0.003738	0.147400	100.97201375646611	0.041403	0.041277	0.041542962562489835	0.04141696832960915	-0.028237860295634645	-0.02836252472083558
7.750000E-5	0.003983	0.153534	107.5348537564661	0.043892	0.043757	0.04403425703072737	0.04389926289238963	-0.025746565827397108	-0.0258802301580551
7.875000E-5	0.004013	0.160187	108.35520875646611	0.046487	0.046351	0.04663155149896491	0.04649555745517011	-0.02314927135915957	-0.02328393559527462
8.000000E-5	0.004181	0.166718	112.8671607564661	0.049188	0.049047	0.04933484596720245	0.04919385201795059	-0.020445976890922028	-0.02058564103249414
8.125000E-5	0.004333	0.173431	116.96893475646611	0.051998	0.051851	0.052147140435439984	0.052000146580731064	-0.017633682422684496	-0.017779346469713665
8.250000E-5	0.004410	0.180115	119.01982275646611	0.054916	0.054767	0.05506743490367752	0.05491844114351155	-0.01471338795444696	-0.014861051906933181
8.375000E-5	0.004578	0.187012	123.5317747564661	0.057946	0.057791	0.05809972937191506	0.05794473570629202	-0.011681093486209423	-0.011834757344152708
8.500000E-5	0.004761	0.194061	128.4539047564661	0.061091	0.060930	0.0612470238401526	0.06108603026907249	-0.008533799017971883	-0.008693462781372237
8.625000E-5	0.004868	0.201508	131.3251467564661	0.064356	0.064191	0.06451431830839013	0.06434932483185297	-0.0052665045497343466	-0.005430168218591755
8.750000E-5	0.004990	0.209045	134.6065667564661	0.067742	0.067573	0.06790261277662767	0.06773361939463345	-0.0018782100814968145	-0.002045873655811284
8.875000E-5	0.005188	0.216492	139.9388737564661	0.071249	0.071074	0.07141190724486522	0.07123691395741392	0.0016310843867407415	0.0014574209069691951
9.000000E-5	0.005402	0.223999	145.6813577564661	0.074879	0.074696	0.07504420171310275	0.07486120852019441	0.005263378854978268	0.005081715469749684
9.125000E-5	0.005478	0.231689	147.7322457564661	0.078631	0.078446	0.0787984961813403	0.07861350308297489	0.009017673323215819	0.008834010032530162
9.250000E-5	0.005646	0.239044	152.2441977564661	0.082504	0.082313	0.08267379064957782	0.08248279764575536	0.012892967791453339	0.012703304595310633
9.375000E-5	0.005875	0.246399	158.3968597564661	0.086496	0.086298	0.08666808511781537	0.08647009220853584	0.016887262259690894	0.01669059915809111
9.500000E-5	0.006042	0.254059	162.9088117564661	0.090611	0.090407	0.0907853795860529	0.09058138677131632	0.02100455672792842	0.020801893720871587
9.625000E-5	0.006073	0.261383	163.7291667564661	0.094845	0.094640	0.09502167405429045	0.0948166813340968	0.025240851196165967	0.025037188283652076
9.750000E-5	0.006363	0.268707	171.5225387564661	0.099198	0.098983	0.09937696852252798	0.09916197589687728	0.029596145664403495	0.02938248284643255
9.875000E-5	0.006531	0.275940	176.0344907564661	0.103669	0.103448	0.10385026299076552	0.10362927045965775	0.03406944013264104	0.03384977740921302
1.000000E-4	0.006638	0.283234	178.9057327564661	0.108257	0.108033	0.10844055745900306	0.10821656502243823	0.038659734600878584	0.0384370719719935
0.000101	0.006882	0.290527	185.4685727564661	0.112963	0.112730	0.11314839303359309	0.11291540067266262	0.043367570175468606	0.04313590762221789
0.000102	0.007050	0.297516	189.9805247564661	0.117782	0.117544	0.11796922860818311	0.117731236322887	0.04818840575005863	0.04795174327244227
0.000104	0.007217	0.304260	194.49247675646612	0.122711	0.122467	0.12290189975736318	0.12265790762333577	0.0531210768992387	0.05287841457289104
0.000105	0.007477	0.311096	201.46549375646612	0.127750	0.127497	0.12794273533195322	0.12768974327356014	0.058161912473828736	0.05791025022311541
0.000106	0.007584	0.317505	204.3367367564661	0.132894	0.132638	0.13308857090654325	0.13283257892378453	0.06330774804841877	0.0630530858733398
0.000107	0.007858	0.324066	211.7199307564661	0.138143	0.137877	0.13833940648113327	0.1380734145740089	0.06855858362300879	0.06829392152356417
0.000109	0.007996	0.330170	215.4115277564661	0.143490	0.143220	0.14369007763031333	0.14342008587445765	0.07390925477218885	0.07364059282401292
0.000110	0.008224	0.335907	221.5641897564661	0.148932	0.148654	0.14913391320490338	0.14885592152468208	0.0793530903467789	0.07907642847423735
0.000111	0.008377	0.341583	225.6659647564661	0.154464	0.154181	0.15466774877949338	0.15438475717490646	0.0848869259213689	0.08460526412446173
0.000112	0.008575	0.346741	230.9982717564661	0.160081	0.159792	0.16028658435408344	0.15999759282513082	0.09050576149595896	0.09021809977468609
0.000114	0.008957	0.351868	241.25270875646612	0.165780	0.165478	0.1659892555032635	0.16568726412557958	0.09620843264513901	0.09590777107513485
0.000115	0.009109	0.356537	245.3544837564661	0.171557	0.171249	0.1717680910778535	0.17146009977580398	0.10198726821972903	0.10168060672535925
0.000116	0.009155	0.361481	246.5850157564661	0.177412	0.177103	0.17762492665244353	0.17731593542602836	0.10784410379431905	0.10753644237558363
0.000117	0.009598	0.366150	258.4801627564661	0.183343	0.183019	0.18355776222703357	0.18323377107625272	0.11377693936890909	0.11345427802580799
0.000119	0.009720	0.370422	261.7615817564661	0.189343	0.189015	0.18956143337621364	0.18923344237670148	0.11978061051808916	0.11945394932625675
0.000120	0.009903	0.374542	266.6837117564661	0.195410	0.195076	0.19563026895080368	0.19529627802692587	0.1258494460926792	0.12551678497648114
0.000121	0.010208	0.378357	274.8872607564661	0.201539	0.201194	0.2017611045253937	0.20141611367715026	0.13198028166726922	0.13163662062670553
0.000122	0.010452	0.381775	281.4501007564661	0.207722	0.207369	0.2079459400999837	0.20759294932737465	0.13816511724185923	0.13781345627692992
0.000124	0.010696	0.384705	288.0129397564661	0.213954	0.213593	0.2141816112491638	0.21382062062782342	0.14440078839103931	0.1440411275773787
0.000125	0.010849	0.387634	292.1147147564661	0.220233	0.219866	0.22046244682375382	0.2200954562780478	0.15068162396562934	0.15031596322760307
0.000126	0.011185	0.390076	301.1386197564661	0.226552	0.226174	0.22678328239834386	0.22640529192827216	0.15700245954021938	0.15662579887782743
0.000127	0.011459	0.392517	308.5218137564661	0.232910	0.232523	0.23314311797293388	0.23275612757849656	0.1633622951148094	0.16297663452805183
